Hospital_Name,Location_,Department,Doctors_Count,Patients_Count,Admission_Date,Discharge_Date,Medical_Expenses
Apollo Health,Jaipur,General Medicine,37,173,01-10-23,12-10-23,12284.65
Apollo Health,Delhi,Urology,41,111,05-11-23,08-11-23,43367.53
Apollo Health,Hyderabad,Dermatology,28,191,08-04-23,22-04-23,17698.49
Apollo Health,Hyderabad,Orthopedics,5,79,25-03-23,29-03-23,20952.51
Apollo Health,Pune,ENT,9,59,09-11-23,16-11-23,25177.79
Apollo Health,Lucknow,ENT,9,171,06-04-23,21-04-23,21666.78
Apollo Health,Lucknow,Dermatology,20,39,05-05-23,10-05-23,37856.7
Apollo Health,Chennai,ENT,8,61,10-09-23,15-09-23,42769.14
Apollo Health,Ahmedabad,Neurology,28,102,13-12-23,20-12-23,23328.9
Apollo Health,Mumbai,Neurology,32,56,11-01-23,26-01-23,22456.61
Apollo Health,Hyderabad,Gynecology,40,150,01-05-23,02-05-23,9775.99
City Hospital,Kolkata,Gynecology,35,76,10-02-23,12-02-23,47210.46
City Hospital,Lucknow,Cardiology,32,67,18-11-23,24-11-23,36748.42
City Hospital,Lucknow,Oncology,48,91,24-02-23,04-03-23,10882.4
City Hospital,Hyderabad,Dermatology,7,88,12-05-23,21-05-23,28558.23
City Hospital,Kolkata,Urology,6,166,16-12-23,25-12-23,40731.29
City Hospital,Jaipur,Gynecology,11,22,15-05-23,18-05-23,48466.08
City Hospital,Ahmedabad,Neurology,14,91,20-07-23,03-08-23,33446.24
City Hospital,Chennai,Gynecology,28,84,08-02-23,22-02-23,20849.31
City Hospital,Delhi,Pediatrics,41,27,20-02-23,06-03-23,33417.28
City Hospital,Ahmedabad,Urology,25,131,30-06-23,02-07-23,47678.73
Fortis Care,Pune,ENT,15,51,29-12-23,09-01-24,47280.19
Fortis Care,Jaipur,Urology,22,38,12-03-23,25-03-23,13481.9
Fortis Care,Jaipur,Orthopedics,27,60,18-09-23,24-09-23,37056.51
Fortis Care,Mumbai,Urology,46,154,14-02-23,18-02-23,41367.1
Fortis Care,Ahmedabad,Oncology,32,116,28-10-23,30-10-23,40799.02
Fortis Care,Jaipur,Oncology,15,40,23-10-23,26-10-23,37057.29
Fortis Care,Bangalore,Gynecology,30,69,13-11-23,26-11-23,14701.02
Fortis Care,Pune,Oncology,41,47,25-03-23,29-03-23,8519.11
Fortis Care,Bangalore,ENT,14,62,17-12-23,30-12-23,13590.65
Fortis Care,Ahmedabad,Dermatology,9,106,14-11-23,21-11-23,44526.27
Fortis Care,Hyderabad,ENT,19,152,18-09-23,19-09-23,39298.3
Global Medicare,Ahmedabad,Oncology,22,99,01-08-23,06-08-23,47808.55
